name,keywords,categories,sku
Industrial Steel Pipes,"steel,pipe,metal",construction,SKU-STEEL-001
Copper Wire Spools,"copper,wire,electrical",electrical,SKU-COPPER-001
PVC Pipe Fittings,"pvc,plumbing,fitting",plumbing,SKU-PVC-001
Aluminum Sheet Metal,"aluminum,sheet,metal",fabrication,SKU-ALUM-001
Safety Equipment,"ppe,safety,hardhat",safety,SKU-SAFE-001
Hydraulic Hoses,"hydraulic,hose,industrial",industrial,SKU-HYD-001
Stainless Steel Fasteners,"stainless,bolt,nut",hardware,SKU-SS-001
Concrete Rebar,"rebar,concrete,construction",construction,SKU-REBAR-001
LED Lighting Fixtures,"led,lighting,commercial",electrical,SKU-LED-001
Industrial Bearings,"bearing,roller,industrial",industrial,SKU-BEAR-001
